name,website_uri
"101 Lobby Bar",https://www.101club.com/101-room
"676 Restaurant & Bar",https://www.omnihotels.com/hotels/chicago/dining/676-restaurant-and-bar
"9 Muses Bar & Grill",https://www.9museschicago.com/
"AMBAR Restaurant, Chicago",https://ambarrestaurant.com/ambarchicago?utm_source=google
Aba,http://www.abarestaurants.com/
AceBounce,https://www.acebounce.com/
"After Chicago",https://www.after-chicago.com/
"Alhambra Palace Chicago",https://www.alhambrapalacechicago.com/
"All Well",https://www.allwellchicago.com/
Alpana,http://www.alpanachicago.com/
"Altezza Rooftop Bar Chicago",https://www.altezzachicago.com/
"Andy's Jazz Club & Restaurant",http://www.andysjazzclub.com/
"Baobing Bar",https://www.duckduckgoatchicago.com/baobing-bar
"Bar Goa",https://www.bargoachicago.com/
"Bar Pendry Chicago",https://www.pendry.com/chicago/dining/bar-pendry/
"Bar Sótano",https://barsotano.com/
"Beatnik On The River",http://beatnikontheriver.com/
Beatrix,http://www.beatrixrestaurants.com/
"Beef & Liberty Bar at Hawksmoor Chicago",https://thehawksmoor.com/us/beef-liberty-bar-chicago/
"Bernard’s",https://bernardschicago.com/?SEO_id=GMB--2-R-CHIWAWA-2&y_source=1_MTU0MDUyMzktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Bistronomic,http://bistronomic.net/
"Black Barrel Tavern",http://www.blackbarrelchicago.com/
"Blind Barber",http://www.blindbarber.com/
"Blue Chicago",http://www.bluechicago.com/
"Bocaditos Chicago",https://www.bocaditoschicago.com/
"Bodega Taqueria y Tequila",https://www.bodegataqueria.com/
"Boqueria Fulton Market",https://boqueriarestaurant.com/location/chi-fulton-market/?utm_source=organic&utm_medium=gmb
"Bottom Lounge",http://bottomlounge.com/
"Brehon Pub",https://www.brehonpub.com/
"Brews & Bites Riverwalk",http://www.brewsnbites.us/
"Broken Hearts",https://www.brokenheartsbar.com/
"Broken Shaker at Freehand Chicago",https://www.brokenshaker.com/
"Bub City",http://www.bub-city.com/
CBR,https://cbrrestaurant.com/
Cabra,http://www.cabrachicago.com/
"Caché 310",https://cache310.com/
Celeste,https://celestedisco.com/deco-supper-club/#menus
"Celtic Crossings Irish Pub",http://www.celticcrossingchicago.com/
"Centennial Crafted Beer & Eatery",https://www.centennialchicago.com/
Chalet,https://chaletchi.com/?utm_source=google
"Chicago Prohibition Tours",http://www.prohibitiontours.com/
"Chicago Winery",https://www.chiwinery.com/
"Château Carbide",https://www.pendry.com/chicago/dining/chateau-carbide/
Cira,http://www.cirachicago.com/
"City Nikki's",https://www.citynikkis.com/
"City Pool Hall & Sports Bar",http://www.citypoolhallchicago.com/
"Clandestino - Cocktail Social Club",https://www.clandestinosocialclub.com/
"Clark Street Ale House",https://www.clarkstreetalehouse.com/
"Coco Pazzo Restaurant & Bar",http://www.cocopazzochicago.com/
"Copper Fox Gastropub",https://www.copperfoxchicago.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing
"Crushed By Giants Brewing Company",http://crushedbygiants.com/
"Cruz Blanca Taquería + Brewery",http://cruzblancachi.com/
"Dearly Beloved",https://www.dearlybelovedchicago.com/
Diego,http://diegochicago.com/?utm_source=GMBmain&utm_medium=organic
"Electric Shuffle Chicago",http://electricshuffle.com/us/chicago
"Emporium Arcade Bar",https://emporiumarcadebar.com/locations/chicago/fulton-market/
Esco,https://www.escochicago.com/
"Federales Tacos & Tequila - Fulton Market, Chicago",https://www.federalesfulton.com/
"Five Iron Golf",https://fiveirongolf.com/locations/chicago-river-north/?utm_source=local&utm_medium=organic&utm_campaign=il&utm_content=chicago-river-north
"Flight Club Chicago",https://www.flightclubdartsusa.com/chicago
"Formento's",http://www.formentos.com/
"Foundation Room Chicago",https://locations.houseofblues.com/foundation-room/il/chicago/329-n-dearborn-st.?y_source=1_MTU2MzYxNDgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
"Fox Bar",https://www.foxbar.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness
"Francois Frankie Le Carousel Bar",http://www.francoisfrankie.com/
"Ghost Donkey",http://www.ghostdonkeychicago.com/
"Good Funk on the River",http://www.goodfunkontheriver.com/
"Good Night John Boy",http://goodnightjb.com/
"Greek Islands",https://www.greekislands.net/
"Green Street Local",http://greenstreetlocal.com/
"Guinness Open Gate Brewery – West Loop",https://www.guinnessbrewerychicago.com/
"Gus' Sip & Dip",https://gussipanddip.com/
HIDE+SEEK,http://www.hideandseekchicago.com/
"Havana Grill",http://www.havanachicago.com/
"Haymarket Pub & Brewery",https://www.haymarketbeer.com/
"Headquarters Beercade",https://www.hqrivernorth.com/?utm_source=GBP&utm_medium=organic
"Howl at the Moon Chicago",https://www.howlatthemoon.com/chicago/
"Hubbard Inn",https://www.hubbardinn.com/
"IO Godfrey Rooftop Lounge",https://iogodfrey.com/
Inkwell,https://www.inkwellbar.com/
"Jake Melnick's Corner Tap",http://www.jakemelnicks.com/
"Jefferson Tap & Grille",https://www.jeffersontap.com/
"JoJo's Shake Bar - Chicago",https://www.jojosshakebar.com/
"Joto Sushi",https://jotochicago.com/
"Joy District",https://www.joychicago.com/
"Kerryman Irish Bar & Restaurant",http://www.thekerrymanchicago.com/
"Kinzie Chophouse",https://www.kinziechophouse.com/
"Kitchen + Kocktails By Kevin Kelley - Chicago",http://kitchenkocktailsusa.com/
"La Bella Trattoria on Rush",http://www.labellachicago.com/locations/river-north
"La Josie",http://lajosie.com/
"Lazy Bird",http://lazybirdchicago.com/
"Leña Brava",http://www.lenabrava.com/
"Little Toasted",http://littletoasted.com/
"Lone Wolf Tavern",http://www.lonewolftavern.com/
MONEYGUN,http://www.moneygunchicago.com/
"Mom's Place - A Chicago Gathering Spot",http://momsplacechicago.com/
Momotaro,https://www.momotarochicago.com/
"Monk's Pub",http://www.monkspubchicago.com/
"New Line Tavern",http://newlinetavern.com/
"Nic + Junior's",https://nicandjuniors.com/
Nimble,https://nimblechicago.com/
"No Vacancy",https://www.dontnvus.com/
"O'Callaghan's",http://www.ocallaghanspub.com/
"Ocean Prime",https://www.ocean-prime.com/locations-menus/chicago
"One North Kitchen & Bar",https://www.onenorthchicago.com/
"Osteria Via Stato",http://www.osteriaviastato.com/
"PB&J: Pizza Beer and Jukebox",https://pbjwestloop.com/
"Pierrot Gourmet at The Peninsula",https://www.peninsula.com/en/chicago/hotel-fine-dining/pierrot-gourmet-french-cafe
"Point & Feather",http://pointandfeatherchicago.com/
"Pops for Champagne",http://popsforchampagne.com/
Puttery,https://www.puttery.com/locations/chicago
"Quartino Ristorante",https://quartinoristorante.com/
"ROOF on theWit",http://www.roofonthewit.com/
"Randolph Tavern",http://www.randolphtavern.com/
"Rebel & Rye",https://rebelandrye.com/
Recess,https://recesschicago.com/
"Redhead Piano Bar",https://redheadpianobar.com/
"RiNo Bar",https://rinobar.com/
"Richard's Bar",http://richardsbarbrands.com/
"Riu Rooftop Chicago",https://riurooftopbarchicago.riu.com/?utm_source=google&utm_medium=organic&utm_campaign=my_business&utm_content=ZCH
"River Roast",https://www.riverroastchicago.com/
"Rooftop Cinema Club Fulton Market",https://rooftopcinemaclub.com/us/chicago/fulton-market
"Rose Lounge",https://www.adalinachicago.com/rose-lounge/
"Rosebud on Rush",https://rosebudrestaurants.com/locations/rosebud-on-rush/
"Rossi's",https://rossischicago.com/
SIFR,https://www.sifrchicago.com/
SUNNYGUN,https://www.sunnygunchicago.com/
"Saigon Sisters",http://saigonsisters.com/
Sepia,https://www.sepiachicago.com/
"Shamrock Club",https://www.shamrockclubchicago.com/
"South Branch Tavern & Grille (The Loop - Chicago)",http://www.southbranchchicago.com/
"Spectrum Bar & Grill",http://www.spectrumbarandgrill.com/
Stardust,https://stardustchi.com/
"Stocks & Blondes",http://stocksandblondesbar.com/
"Storyville Chicago",https://storyvillechicago.com/
"Streeter's Tavern",https://streeterstavern.com/
"TAO Chicago",https://taogroup.com/venues/tao-asian-bistro-chicago/
Tacombi,https://www.tacombi.com/?utm_source=google&utm_medium=gbp&utm_campaign=profile
"Taste 222",http://www.taste222chicago.com/
Tetto,https://www.tettochicago.com/
"The Aberdeen Tap",http://www.theaberdeentap.com/
"The Alston",https://www.thealston.com/
"The Bamboo Room at Three Dots and a Dash",https://www.threedotschicago.com/the-bamboo-room/
"The Bassment - Chicago",https://www.thebassmentchicago.com/
"The Dandy Crown",https://www.thedandycrown.com/
"The Dawson",https://the-dawson.com/
"The Drifter",https://www.thedrifterchicago.com/
"The Evie",https://eviechicago.com/
"The Foyer Café",https://the-foyer-cafe.com/
"The Franklin Room",https://www.franklinroom.com/
"The Green Door Tavern",https://www.greendoorchicago.com/
"The Lair",https://lairbar.com/
"The Lobby",https://www.peninsula.com/en/chicago/hotel-fine-dining/the-lobby-afternoon-tea
"The Loyalist",https://www.theloyalistchicago.com/
"The Pearl Club",https://pearlclubchicago.com/
"The Press Room",http://pressroomchicago.com/
"The Publican",http://thepublicanrestaurant.com/
"The Tavern Club at 333",http://tavernclub333.com/
"The Wild Hare & Singing Armadillo Frog Sanctuary",https://www.wildharemusic.com/
"Third Rail Tavern",https://www.thirdrailchicago.com/
"Three Dots and a Dash",http://threedotschicago.com/
"Tiny Tapp & Café",https://tinytapp.com/
"Tortoise Supper Club",http://www.tortoisesupperclub.com/
"Tree House Chicago",https://www.treehousechicago.com/
"Trino Steakhouse",https://www.trinochicago.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing&utm_content=website-button
Tunnel,http://www.tunnelchicago.com/
UMMO,http://www.ummochicago.com/
"Untitled Supper Club",https://untitledsupperclub.com/
"Upstairs at The Gwen",http://www.thegwenchicago.com/dining/upstairs-at-the-gwen/
"WNDR Museum",https://wndrmuseum.com/location/chicago/
"Watershed Bar",http://watershedbar.com/
"Yokocho Handrolls and Omakase Bar",http://yokochochicago.com/
"Z Bar",http://zbarchicago.com/
"avec Restaurant",http://www.avecrestaurant.com/
"bar avec",https://www.avecrestaurant.com/
"ĒLA Nightclub",https://www.elanightclub.com/
